canonical_position,column_name,in_canonical_46,pandas_dtype,row_count,null_count,null_pct,non_null_count,nunique_non_null,nunique_how,kmeans_feature_role
1,Procuring Entity (PE),True,float64,200152,200152,100.0,0,,N/A (see EDA charts in this quarter folder),high_cardinality_text
2,Region,True,float64,200152,200152,100.0,0,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
3,Province,True,float64,200152,200152,100.0,0,,N/A (see EDA charts in this quarter folder),high_cardinality_text
4,City/Municipality,True,float64,200152,200152,100.0,0,,N/A (see EDA charts in this quarter folder),high_cardinality_text
5,Government Branch,True,float64,200152,200152,100.0,0,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
6,PE Organization Type,True,float64,200152,200152,100.0,0,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
7,PE Organization Type (Grouped),True,float64,200152,200152,100.0,0,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
8,Bid Reference No.,True,object,200152,0,0.0,200152,,N/A (see EDA charts in this quarter folder),identifier_skip
9,Notice Title,True,object,200152,1,0.0005,200151,,N/A (see EDA charts in this quarter folder),high_cardinality_text
10,Classification,True,object,200152,0,0.0,200152,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
11,Procurement Mode,True,object,200152,0,0.0,200152,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
12,Business Category,True,object,200152,0,0.0,200152,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
13,Funding Source,True,object,200152,0,0.0,200152,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
14,Funding Instrument,True,object,200152,0,0.0,200152,,N/A (see EDA charts in this quarter folder),high_cardinality_text
15,Trade Agreement,True,object,200152,0,0.0,200152,,N/A (see EDA charts in this quarter folder),high_cardinality_text
16,Approved Budget of the Contract,True,object,200152,0,0.0,200152,,N/A (see EDA charts in this quarter folder),numeric_ready
17,Published Date,True,object,200152,4096,2.0464,196056,,N/A (see EDA charts in this quarter folder),date_derivable
18,Closing Date,True,object,200152,8663,4.3282,191489,,N/A (see EDA charts in this quarter folder),date_derivable
19,Area of Delivery,True,object,200152,14706,7.3474,185446,,N/A (see EDA charts in this quarter folder),high_cardinality_text
20,Contract Duration,True,object,200152,1847,0.9228,198305,,N/A (see EDA charts in this quarter folder),other_review
21,Calendar Type,True,object,200152,8663,4.3282,191489,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
22,Line Item No,True,object,200152,67266,33.6075,132886,,N/A (see EDA charts in this quarter folder),numeric_ready
23,Item Name,True,object,200152,67294,33.6214,132858,,N/A (see EDA charts in this quarter folder),high_cardinality_text
24,Item Description,True,object,200152,67343,33.6459,132809,,N/A (see EDA charts in this quarter folder),high_cardinality_text
25,Quantity,True,object,200152,67266,33.6075,132886,,N/A (see EDA charts in this quarter folder),numeric_ready
26,UOM,True,object,200152,67267,33.608,132885,,N/A (see EDA charts in this quarter folder),high_cardinality_text
27,Item Budget,True,object,200152,67266,33.6075,132886,,N/A (see EDA charts in this quarter folder),numeric_ready
28,Bid Notice Status,True,float64,200152,200152,100.0,0,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
29,Award Reference No.,True,float64,200152,200152,100.0,0,,N/A (see EDA charts in this quarter folder),identifier_skip
30,Award Title,True,object,200152,136237,68.0668,63915,,N/A (see EDA charts in this quarter folder),high_cardinality_text
31,UNSPSC Code,True,object,200152,136319,68.1077,63833,,N/A (see EDA charts in this quarter folder),identifier_skip
32,UNSPSC Description,True,object,200152,136319,68.1077,63833,,N/A (see EDA charts in this quarter folder),high_cardinality_text
33,Published Date(Award),True,object,200152,136236,68.0663,63916,,N/A (see EDA charts in this quarter folder),date_derivable
34,Award Date,True,object,200152,136236,68.0663,63916,,N/A (see EDA charts in this quarter folder),date_derivable
35,Contract Amount,True,object,200152,136440,68.1682,63712,,N/A (see EDA charts in this quarter folder),numeric_ready
36,Award Notice Status,True,float64,200152,200152,100.0,0,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
37,Notice to Proceed Date,True,object,200152,153000,76.4419,47152,,N/A (see EDA charts in this quarter folder),date_derivable
38,Contract Effectivity Date,True,float64,200152,200152,100.0,0,,N/A (see EDA charts in this quarter folder),date_derivable
39,Contract End Date,True,object,200152,153000,76.4419,47152,,N/A (see EDA charts in this quarter folder),date_derivable
40,Awardee Organization Name,True,object,200152,136236,68.0663,63916,,N/A (see EDA charts in this quarter folder),high_cardinality_text
41,Country of Awardee,True,float64,200152,200152,100.0,0,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
42,Region of Awardee,True,float64,200152,200152,100.0,0,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
43,Province of Awardee,True,float64,200152,200152,100.0,0,,N/A (see EDA charts in this quarter folder),high_cardinality_text
44,City/Municipality of Awardee,True,float64,200152,200152,100.0,0,,N/A (see EDA charts in this quarter folder),high_cardinality_text
45,Awardee Size,True,float64,200152,200152,100.0,0,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
46,Awardee Joint Venture,True,float64,200152,200152,100.0,0,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
