canonical_position,column_name,in_canonical_46,pandas_dtype,row_count,null_count,null_pct,non_null_count,nunique_non_null,nunique_how,kmeans_feature_role
1,Procuring Entity (PE),True,object,436736,0,0.0,436736,,N/A (see EDA charts in this quarter folder),high_cardinality_text
2,Region,True,object,436736,0,0.0,436736,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
3,Province,True,object,436736,0,0.0,436736,,N/A (see EDA charts in this quarter folder),high_cardinality_text
4,City/Municipality,True,object,436736,0,0.0,436736,,N/A (see EDA charts in this quarter folder),high_cardinality_text
5,Government Branch,True,object,436736,0,0.0,436736,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
6,PE Organization Type,True,object,436736,0,0.0,436736,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
7,PE Organization Type (Grouped),True,object,436736,0,0.0,436736,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
8,Bid Reference No.,True,int64,436736,0,0.0,436736,,N/A (see EDA charts in this quarter folder),identifier_skip
9,Notice Title,True,object,436736,0,0.0,436736,,N/A (see EDA charts in this quarter folder),high_cardinality_text
10,Classification,True,object,436736,0,0.0,436736,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
11,Procurement Mode,True,object,436736,0,0.0,436736,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
12,Business Category,True,object,436736,0,0.0,436736,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
13,Funding Source,True,object,436736,0,0.0,436736,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
14,Funding Instrument,True,object,436736,0,0.0,436736,,N/A (see EDA charts in this quarter folder),high_cardinality_text
15,Trade Agreement,True,object,436736,0,0.0,436736,,N/A (see EDA charts in this quarter folder),high_cardinality_text
16,Approved Budget of the Contract,True,float64,436736,0,0.0,436736,,N/A (see EDA charts in this quarter folder),numeric_ready
17,Published Date,True,object,436736,4553,1.0425,432183,,N/A (see EDA charts in this quarter folder),date_derivable
18,Closing Date,True,object,436736,9065,2.0756,427671,,N/A (see EDA charts in this quarter folder),date_derivable
19,Area of Delivery,True,object,436736,33826,7.7452,402910,,N/A (see EDA charts in this quarter folder),high_cardinality_text
20,Contract Duration,True,float64,436736,1406,0.3219,435330,,N/A (see EDA charts in this quarter folder),other_review
21,Calendar Type,True,object,436736,9065,2.0756,427671,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
22,Line Item No,True,float64,436736,117267,26.8508,319469,,N/A (see EDA charts in this quarter folder),numeric_ready
23,Item Name,True,object,436736,117269,26.8512,319467,,N/A (see EDA charts in this quarter folder),high_cardinality_text
24,Item Description,True,object,436736,117330,26.8652,319406,,N/A (see EDA charts in this quarter folder),high_cardinality_text
25,Quantity,True,float64,436736,117267,26.8508,319469,,N/A (see EDA charts in this quarter folder),numeric_ready
26,UOM,True,object,436736,117267,26.8508,319469,,N/A (see EDA charts in this quarter folder),high_cardinality_text
27,Item Budget,True,float64,436736,117267,26.8508,319469,,N/A (see EDA charts in this quarter folder),numeric_ready
28,Bid Notice Status,True,object,436736,0,0.0,436736,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
29,Award Reference No.,True,float64,436736,230175,52.7035,206561,,N/A (see EDA charts in this quarter folder),identifier_skip
30,Award Title,True,object,436736,230175,52.7035,206561,,N/A (see EDA charts in this quarter folder),high_cardinality_text
31,UNSPSC Code,True,float64,436736,230513,52.7809,206223,,N/A (see EDA charts in this quarter folder),identifier_skip
32,UNSPSC Description,True,object,436736,230513,52.7809,206223,,N/A (see EDA charts in this quarter folder),high_cardinality_text
33,Published Date(Award),True,object,436736,230175,52.7035,206561,,N/A (see EDA charts in this quarter folder),date_derivable
34,Award Date,True,object,436736,230175,52.7035,206561,,N/A (see EDA charts in this quarter folder),date_derivable
35,Contract Amount,True,float64,436736,230367,52.7474,206369,,N/A (see EDA charts in this quarter folder),numeric_ready
36,Award Notice Status,True,object,436736,230175,52.7035,206561,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
37,Notice to Proceed Date,True,object,436736,273845,62.7026,162891,,N/A (see EDA charts in this quarter folder),date_derivable
38,Contract Effectivity Date,True,object,436736,273845,62.7026,162891,,N/A (see EDA charts in this quarter folder),date_derivable
39,Contract End Date,True,object,436736,273845,62.7026,162891,,N/A (see EDA charts in this quarter folder),date_derivable
40,Awardee Organization Name,True,object,436736,230175,52.7035,206561,,N/A (see EDA charts in this quarter folder),high_cardinality_text
41,Country of Awardee,True,object,436736,230175,52.7035,206561,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
42,Region of Awardee,True,object,436736,230407,52.7566,206329,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
43,Province of Awardee,True,object,436736,230334,52.7399,206402,,N/A (see EDA charts in this quarter folder),high_cardinality_text
44,City/Municipality of Awardee,True,object,436736,230272,52.7257,206464,,N/A (see EDA charts in this quarter folder),high_cardinality_text
45,Awardee Size,True,object,436736,238131,54.5252,198605,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
46,Awardee Joint Venture,True,object,436736,432803,99.0995,3933,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
