canonical_position,column_name,in_canonical_46,pandas_dtype,row_count,null_count,null_pct,non_null_count,nunique_non_null,nunique_how,kmeans_feature_role
1,Procuring Entity (PE),True,object,504833,0,0.0,504833,,N/A (see EDA charts in this quarter folder),high_cardinality_text
2,Region,True,object,504833,0,0.0,504833,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
3,Province,True,object,504833,0,0.0,504833,,N/A (see EDA charts in this quarter folder),high_cardinality_text
4,City/Municipality,True,object,504833,0,0.0,504833,,N/A (see EDA charts in this quarter folder),high_cardinality_text
5,Government Branch,True,object,504833,0,0.0,504833,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
6,PE Organization Type,True,object,504833,0,0.0,504833,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
7,PE Organization Type (Grouped),True,object,504833,0,0.0,504833,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
8,Bid Reference No.,True,int64,504833,0,0.0,504833,,N/A (see EDA charts in this quarter folder),identifier_skip
9,Notice Title,True,object,504833,0,0.0,504833,,N/A (see EDA charts in this quarter folder),high_cardinality_text
10,Classification,True,object,504833,0,0.0,504833,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
11,Procurement Mode,True,object,504833,0,0.0,504833,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
12,Business Category,True,object,504833,0,0.0,504833,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
13,Funding Source,True,object,504833,0,0.0,504833,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
14,Funding Instrument,True,object,504833,0,0.0,504833,,N/A (see EDA charts in this quarter folder),high_cardinality_text
15,Trade Agreement,True,object,504833,0,0.0,504833,,N/A (see EDA charts in this quarter folder),high_cardinality_text
16,Approved Budget of the Contract,True,float64,504833,0,0.0,504833,,N/A (see EDA charts in this quarter folder),numeric_ready
17,Published Date,True,object,504833,5208,1.0316,499625,,N/A (see EDA charts in this quarter folder),date_derivable
18,Closing Date,True,object,504833,10637,2.107,494196,,N/A (see EDA charts in this quarter folder),date_derivable
19,Area of Delivery,True,object,504833,35401,7.0124,469432,,N/A (see EDA charts in this quarter folder),high_cardinality_text
20,Contract Duration,True,float64,504833,1726,0.3419,503107,,N/A (see EDA charts in this quarter folder),other_review
21,Calendar Type,True,object,504833,10637,2.107,494196,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
22,Line Item No,True,float64,504833,141601,28.0491,363232,,N/A (see EDA charts in this quarter folder),numeric_ready
23,Item Name,True,object,504833,141607,28.0503,363226,,N/A (see EDA charts in this quarter folder),high_cardinality_text
24,Item Description,True,object,504833,141697,28.0681,363136,,N/A (see EDA charts in this quarter folder),high_cardinality_text
25,Quantity,True,float64,504833,141601,28.0491,363232,,N/A (see EDA charts in this quarter folder),numeric_ready
26,UOM,True,object,504833,141603,28.0495,363230,,N/A (see EDA charts in this quarter folder),high_cardinality_text
27,Item Budget,True,float64,504833,141601,28.0491,363232,,N/A (see EDA charts in this quarter folder),numeric_ready
28,Bid Notice Status,True,object,504833,0,0.0,504833,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
29,Award Reference No.,True,float64,504833,265526,52.5968,239307,,N/A (see EDA charts in this quarter folder),identifier_skip
30,Award Title,True,object,504833,265526,52.5968,239307,,N/A (see EDA charts in this quarter folder),high_cardinality_text
31,UNSPSC Code,True,float64,504833,265873,52.6655,238960,,N/A (see EDA charts in this quarter folder),identifier_skip
32,UNSPSC Description,True,object,504833,265873,52.6655,238960,,N/A (see EDA charts in this quarter folder),high_cardinality_text
33,Published Date(Award),True,object,504833,265526,52.5968,239307,,N/A (see EDA charts in this quarter folder),date_derivable
34,Award Date,True,object,504833,265526,52.5968,239307,,N/A (see EDA charts in this quarter folder),date_derivable
35,Contract Amount,True,float64,504833,265789,52.6489,239044,,N/A (see EDA charts in this quarter folder),numeric_ready
36,Award Notice Status,True,object,504833,265526,52.5968,239307,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
37,Notice to Proceed Date,True,object,504833,315432,62.4824,189401,,N/A (see EDA charts in this quarter folder),date_derivable
38,Contract Effectivity Date,True,object,504833,315432,62.4824,189401,,N/A (see EDA charts in this quarter folder),date_derivable
39,Contract End Date,True,object,504833,315432,62.4824,189401,,N/A (see EDA charts in this quarter folder),date_derivable
40,Awardee Organization Name,True,object,504833,265526,52.5968,239307,,N/A (see EDA charts in this quarter folder),high_cardinality_text
41,Country of Awardee,True,object,504833,265526,52.5968,239307,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
42,Region of Awardee,True,object,504833,265738,52.6388,239095,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
43,Province of Awardee,True,object,504833,265726,52.6364,239107,,N/A (see EDA charts in this quarter folder),high_cardinality_text
44,City/Municipality of Awardee,True,object,504833,265660,52.6233,239173,,N/A (see EDA charts in this quarter folder),high_cardinality_text
45,Awardee Size,True,object,504833,278637,55.1939,226196,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
46,Awardee Joint Venture,True,object,504833,500277,99.0975,4556,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
