canonical_position,column_name,in_canonical_46,pandas_dtype,row_count,null_count,null_pct,non_null_count,nunique_non_null,nunique_how,kmeans_feature_role
1,Procuring Entity (PE),True,float64,163986,163986,100.0,0,,N/A (see EDA charts in this quarter folder),high_cardinality_text
2,Region,True,float64,163986,163986,100.0,0,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
3,Province,True,float64,163986,163986,100.0,0,,N/A (see EDA charts in this quarter folder),high_cardinality_text
4,City/Municipality,True,float64,163986,163986,100.0,0,,N/A (see EDA charts in this quarter folder),high_cardinality_text
5,Government Branch,True,float64,163986,163986,100.0,0,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
6,PE Organization Type,True,float64,163986,163986,100.0,0,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
7,PE Organization Type (Grouped),True,float64,163986,163986,100.0,0,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
8,Bid Reference No.,True,object,163986,0,0.0,163986,,N/A (see EDA charts in this quarter folder),identifier_skip
9,Notice Title,True,object,163986,0,0.0,163986,,N/A (see EDA charts in this quarter folder),high_cardinality_text
10,Classification,True,object,163986,0,0.0,163986,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
11,Procurement Mode,True,object,163986,0,0.0,163986,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
12,Business Category,True,object,163986,0,0.0,163986,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
13,Funding Source,True,object,163986,0,0.0,163986,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
14,Funding Instrument,True,object,163986,0,0.0,163986,,N/A (see EDA charts in this quarter folder),high_cardinality_text
15,Trade Agreement,True,object,163986,0,0.0,163986,,N/A (see EDA charts in this quarter folder),high_cardinality_text
16,Approved Budget of the Contract,True,object,163986,0,0.0,163986,,N/A (see EDA charts in this quarter folder),numeric_ready
17,Published Date,True,object,163986,5850,3.5674,158136,,N/A (see EDA charts in this quarter folder),date_derivable
18,Closing Date,True,object,163986,12344,7.5275,151642,,N/A (see EDA charts in this quarter folder),date_derivable
19,Area of Delivery,True,object,163986,11295,6.8878,152691,,N/A (see EDA charts in this quarter folder),high_cardinality_text
20,Contract Duration,True,object,163986,2470,1.5062,161516,,N/A (see EDA charts in this quarter folder),other_review
21,Calendar Type,True,object,163986,12344,7.5275,151642,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
22,Line Item No,True,object,163986,51386,31.3356,112600,,N/A (see EDA charts in this quarter folder),numeric_ready
23,Item Name,True,object,163986,51387,31.3362,112599,,N/A (see EDA charts in this quarter folder),high_cardinality_text
24,Item Description,True,object,163986,51423,31.3582,112563,,N/A (see EDA charts in this quarter folder),high_cardinality_text
25,Quantity,True,object,163986,51386,31.3356,112600,,N/A (see EDA charts in this quarter folder),numeric_ready
26,UOM,True,object,163986,51387,31.3362,112599,,N/A (see EDA charts in this quarter folder),high_cardinality_text
27,Item Budget,True,object,163986,51386,31.3356,112600,,N/A (see EDA charts in this quarter folder),numeric_ready
28,Bid Notice Status,True,float64,163986,163986,100.0,0,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
29,Award Reference No.,True,float64,163986,163986,100.0,0,,N/A (see EDA charts in this quarter folder),identifier_skip
30,Award Title,True,object,163986,101677,62.0035,62309,,N/A (see EDA charts in this quarter folder),high_cardinality_text
31,UNSPSC Code,True,object,163986,101716,62.0272,62270,,N/A (see EDA charts in this quarter folder),identifier_skip
32,UNSPSC Description,True,object,163986,101716,62.0272,62270,,N/A (see EDA charts in this quarter folder),high_cardinality_text
33,Published Date(Award),True,object,163986,101676,62.0029,62310,,N/A (see EDA charts in this quarter folder),date_derivable
34,Award Date,True,object,163986,101676,62.0029,62310,,N/A (see EDA charts in this quarter folder),date_derivable
35,Contract Amount,True,object,163986,102023,62.2145,61963,,N/A (see EDA charts in this quarter folder),numeric_ready
36,Award Notice Status,True,float64,163986,163986,100.0,0,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
37,Notice to Proceed Date,True,object,163986,119902,73.1172,44084,,N/A (see EDA charts in this quarter folder),date_derivable
38,Contract Effectivity Date,True,float64,163986,163986,100.0,0,,N/A (see EDA charts in this quarter folder),date_derivable
39,Contract End Date,True,object,163986,119902,73.1172,44084,,N/A (see EDA charts in this quarter folder),date_derivable
40,Awardee Organization Name,True,object,163986,101676,62.0029,62310,,N/A (see EDA charts in this quarter folder),high_cardinality_text
41,Country of Awardee,True,float64,163986,163986,100.0,0,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
42,Region of Awardee,True,float64,163986,163986,100.0,0,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
43,Province of Awardee,True,float64,163986,163986,100.0,0,,N/A (see EDA charts in this quarter folder),high_cardinality_text
44,City/Municipality of Awardee,True,float64,163986,163986,100.0,0,,N/A (see EDA charts in this quarter folder),high_cardinality_text
45,Awardee Size,True,float64,163986,163986,100.0,0,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
46,Awardee Joint Venture,True,float64,163986,163986,100.0,0,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
