canonical_position,column_name,in_canonical_46,pandas_dtype,row_count,null_count,null_pct,non_null_count,nunique_non_null,nunique_how,kmeans_feature_role
1,Procuring Entity (PE),True,float64,501644,501644,100.0,0,,N/A (see EDA charts in this quarter folder),high_cardinality_text
2,Region,True,float64,501644,501644,100.0,0,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
3,Province,True,float64,501644,501644,100.0,0,,N/A (see EDA charts in this quarter folder),high_cardinality_text
4,City/Municipality,True,float64,501644,501644,100.0,0,,N/A (see EDA charts in this quarter folder),high_cardinality_text
5,Government Branch,True,float64,501644,501644,100.0,0,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
6,PE Organization Type,True,float64,501644,501644,100.0,0,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
7,PE Organization Type (Grouped),True,float64,501644,501644,100.0,0,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
8,Bid Reference No.,True,float64,501644,501644,100.0,0,,N/A (see EDA charts in this quarter folder),identifier_skip
9,Notice Title,True,float64,501644,501644,100.0,0,,N/A (see EDA charts in this quarter folder),high_cardinality_text
10,Classification,True,float64,501644,501644,100.0,0,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
11,Procurement Mode,True,float64,501644,501644,100.0,0,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
12,Business Category,True,float64,501644,501644,100.0,0,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
13,Funding Source,True,float64,501644,501644,100.0,0,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
14,Funding Instrument,True,float64,501644,501644,100.0,0,,N/A (see EDA charts in this quarter folder),high_cardinality_text
15,Trade Agreement,True,float64,501644,501644,100.0,0,,N/A (see EDA charts in this quarter folder),high_cardinality_text
16,Approved Budget of the Contract,True,float64,501644,501644,100.0,0,,N/A (see EDA charts in this quarter folder),numeric_ready
17,Published Date,True,float64,501644,501644,100.0,0,,N/A (see EDA charts in this quarter folder),date_derivable
18,Closing Date,True,float64,501644,501644,100.0,0,,N/A (see EDA charts in this quarter folder),date_derivable
19,Area of Delivery,True,float64,501644,501644,100.0,0,,N/A (see EDA charts in this quarter folder),high_cardinality_text
20,Contract Duration,True,float64,501644,501644,100.0,0,,N/A (see EDA charts in this quarter folder),other_review
21,Calendar Type,True,float64,501644,501644,100.0,0,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
22,Line Item No,True,float64,501644,501644,100.0,0,,N/A (see EDA charts in this quarter folder),numeric_ready
23,Item Name,True,float64,501644,501644,100.0,0,,N/A (see EDA charts in this quarter folder),high_cardinality_text
24,Item Description,True,float64,501644,501644,100.0,0,,N/A (see EDA charts in this quarter folder),high_cardinality_text
25,Quantity,True,float64,501644,501644,100.0,0,,N/A (see EDA charts in this quarter folder),numeric_ready
26,UOM,True,float64,501644,501644,100.0,0,,N/A (see EDA charts in this quarter folder),high_cardinality_text
27,Item Budget,True,float64,501644,501644,100.0,0,,N/A (see EDA charts in this quarter folder),numeric_ready
28,Bid Notice Status,True,float64,501644,501644,100.0,0,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
29,Award Reference No.,True,float64,501644,501644,100.0,0,,N/A (see EDA charts in this quarter folder),identifier_skip
30,Award Title,True,float64,501644,501644,100.0,0,,N/A (see EDA charts in this quarter folder),high_cardinality_text
31,UNSPSC Code,True,float64,501644,501644,100.0,0,,N/A (see EDA charts in this quarter folder),identifier_skip
32,UNSPSC Description,True,float64,501644,501644,100.0,0,,N/A (see EDA charts in this quarter folder),high_cardinality_text
33,Published Date(Award),True,float64,501644,501644,100.0,0,,N/A (see EDA charts in this quarter folder),date_derivable
34,Award Date,True,float64,501644,501644,100.0,0,,N/A (see EDA charts in this quarter folder),date_derivable
35,Contract Amount,True,float64,501644,501644,100.0,0,,N/A (see EDA charts in this quarter folder),numeric_ready
36,Award Notice Status,True,float64,501644,501644,100.0,0,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
37,Notice to Proceed Date,True,float64,501644,501644,100.0,0,,N/A (see EDA charts in this quarter folder),date_derivable
38,Contract Effectivity Date,True,float64,501644,501644,100.0,0,,N/A (see EDA charts in this quarter folder),date_derivable
39,Contract End Date,True,float64,501644,501644,100.0,0,,N/A (see EDA charts in this quarter folder),date_derivable
40,Awardee Organization Name,True,float64,501644,501644,100.0,0,,N/A (see EDA charts in this quarter folder),high_cardinality_text
41,Country of Awardee,True,float64,501644,501644,100.0,0,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
42,Region of Awardee,True,float64,501644,501644,100.0,0,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
43,Province of Awardee,True,float64,501644,501644,100.0,0,,N/A (see EDA charts in this quarter folder),high_cardinality_text
44,City/Municipality of Awardee,True,float64,501644,501644,100.0,0,,N/A (see EDA charts in this quarter folder),high_cardinality_text
45,Awardee Size,True,float64,501644,501644,100.0,0,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
46,Awardee Joint Venture,True,float64,501644,501644,100.0,0,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
