canonical_position,column_name,in_canonical_46,pandas_dtype,row_count,null_count,null_pct,non_null_count,nunique_non_null,nunique_how,kmeans_feature_role
1,Procuring Entity (PE),True,object,450701,0,0.0,450701,,N/A (see EDA charts in this quarter folder),high_cardinality_text
2,Region,True,object,450701,0,0.0,450701,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
3,Province,True,object,450701,0,0.0,450701,,N/A (see EDA charts in this quarter folder),high_cardinality_text
4,City/Municipality,True,object,450701,0,0.0,450701,,N/A (see EDA charts in this quarter folder),high_cardinality_text
5,Government Branch,True,object,450701,0,0.0,450701,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
6,PE Organization Type,True,object,450701,0,0.0,450701,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
7,PE Organization Type (Grouped),True,object,450701,0,0.0,450701,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
8,Bid Reference No.,True,int64,450701,0,0.0,450701,,N/A (see EDA charts in this quarter folder),identifier_skip
9,Notice Title,True,object,450701,0,0.0,450701,,N/A (see EDA charts in this quarter folder),high_cardinality_text
10,Classification,True,object,450701,0,0.0,450701,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
11,Procurement Mode,True,object,450701,0,0.0,450701,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
12,Business Category,True,object,450701,0,0.0,450701,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
13,Funding Source,True,object,450701,0,0.0,450701,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
14,Funding Instrument,True,object,450701,0,0.0,450701,,N/A (see EDA charts in this quarter folder),high_cardinality_text
15,Trade Agreement,True,object,450701,0,0.0,450701,,N/A (see EDA charts in this quarter folder),high_cardinality_text
16,Approved Budget of the Contract,True,float64,450701,0,0.0,450701,,N/A (see EDA charts in this quarter folder),numeric_ready
17,Published Date,True,object,450701,5252,1.1653,445449,,N/A (see EDA charts in this quarter folder),date_derivable
18,Closing Date,True,object,450701,9584,2.1265,441117,,N/A (see EDA charts in this quarter folder),date_derivable
19,Area of Delivery,True,object,450701,33665,7.4695,417036,,N/A (see EDA charts in this quarter folder),high_cardinality_text
20,Contract Duration,True,float64,450701,1743,0.3867,448958,,N/A (see EDA charts in this quarter folder),other_review
21,Calendar Type,True,object,450701,9584,2.1265,441117,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
22,Line Item No,True,float64,450701,119965,26.6174,330736,,N/A (see EDA charts in this quarter folder),numeric_ready
23,Item Name,True,object,450701,119966,26.6176,330735,,N/A (see EDA charts in this quarter folder),high_cardinality_text
24,Item Description,True,object,450701,120061,26.6387,330640,,N/A (see EDA charts in this quarter folder),high_cardinality_text
25,Quantity,True,float64,450701,119965,26.6174,330736,,N/A (see EDA charts in this quarter folder),numeric_ready
26,UOM,True,object,450701,119965,26.6174,330736,,N/A (see EDA charts in this quarter folder),high_cardinality_text
27,Item Budget,True,float64,450701,119965,26.6174,330736,,N/A (see EDA charts in this quarter folder),numeric_ready
28,Bid Notice Status,True,object,450701,0,0.0,450701,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
29,Award Reference No.,True,float64,450701,228380,50.6722,222321,,N/A (see EDA charts in this quarter folder),identifier_skip
30,Award Title,True,object,450701,228380,50.6722,222321,,N/A (see EDA charts in this quarter folder),high_cardinality_text
31,UNSPSC Code,True,float64,450701,229027,50.8157,221674,,N/A (see EDA charts in this quarter folder),identifier_skip
32,UNSPSC Description,True,object,450701,229027,50.8157,221674,,N/A (see EDA charts in this quarter folder),high_cardinality_text
33,Published Date(Award),True,object,450701,228380,50.6722,222321,,N/A (see EDA charts in this quarter folder),date_derivable
34,Award Date,True,object,450701,228380,50.6722,222321,,N/A (see EDA charts in this quarter folder),date_derivable
35,Contract Amount,True,float64,450701,228571,50.7146,222130,,N/A (see EDA charts in this quarter folder),numeric_ready
36,Award Notice Status,True,object,450701,228380,50.6722,222321,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
37,Notice to Proceed Date,True,object,450701,272856,60.5404,177845,,N/A (see EDA charts in this quarter folder),date_derivable
38,Contract Effectivity Date,True,object,450701,272856,60.5404,177845,,N/A (see EDA charts in this quarter folder),date_derivable
39,Contract End Date,True,object,450701,272856,60.5404,177845,,N/A (see EDA charts in this quarter folder),date_derivable
40,Awardee Organization Name,True,object,450701,228380,50.6722,222321,,N/A (see EDA charts in this quarter folder),high_cardinality_text
41,Country of Awardee,True,object,450701,228380,50.6722,222321,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
42,Region of Awardee,True,object,450701,228750,50.7543,221951,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
43,Province of Awardee,True,object,450701,228598,50.7205,222103,,N/A (see EDA charts in this quarter folder),high_cardinality_text
44,City/Municipality of Awardee,True,object,450701,228507,50.7004,222194,,N/A (see EDA charts in this quarter folder),high_cardinality_text
45,Awardee Size,True,object,450701,238123,52.8339,212578,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
46,Awardee Joint Venture,True,object,450701,446215,99.0047,4486,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
