column,pre_min,pre_max,pre_mean,pre_std,clip_low,clip_high,post_min,post_max,post_mean,post_std
Year,2020.0,2025.0,2022.9914726059003,1.381505721143975,2020.0,2025.0,0.0,1.0,0.5982946157455444,0.27630114555358887
log1p_Approved_Budget_of_the_Contract,0.0,22.54035048513709,13.902035825153435,2.2449493713437634,9.798182590890704,19.262258533022642,0.0,1.0,0.4342128336429596,0.23353144526481628
log1p_Item_Budget,0.0,21.917188305721876,11.08688446934221,3.1726696409162707,0.0,16.799250003682555,0.0,1.0,0.6594824194908142,0.18787233531475067
log1p_Contract_Amount,0.0,21.917158002208193,11.617966743197316,2.2121549971675734,4.927398350776013,16.587599135077248,0.0,1.0,0.575111985206604,0.1798030585050583
log1p_Quantity,0.0,20.72326583794641,2.833007997536772,2.7305174349218255,0.6931471805599453,10.596659732783579,0.0,1.0,0.21486711502075195,0.27172911167144775
contract_duration_days,0.0,738030.0,26.117923319079992,1059.5170166625778,0.0,270.0,0.0,1.0,0.0845056027173996,0.1355447769165039
pub_year,2020.0,2025.0,2023.2631535771782,1.2452092333351406,2020.0,2025.0,0.0,1.0,0.6526308655738831,0.2490418404340744
pub_month,1.0,12.0,7.213398139887819,3.2531913834682573,1.0,12.0,0.0,1.0,0.5648543834686279,0.2957446873188019
pub_dow,0.0,6.0,2.519924939243855,1.5234322256820274,0.0,6.0,0.0,1.0,0.4199874997138977,0.25390535593032837
pub_epoch_days,7308.0,9404.0,8700.947431237362,451.1212610402765,7430.449764477315,9357.0,0.0,1.0,0.6595597863197327,0.23334653675556183
time_to_close_days,-30.0,1779.954451539352,34.659193858485686,158.11097305105966,-30.0,864.960000000021,0.0,1.0,0.06580031663179398,0.11791182309389114
prebid_lead_days,-30.0,335.5833333333333,-28.635788319907192,12.473838010834308,-30.0,8.5625,0.0,1.0,0.01841617189347744,0.1285720020532608
award_publish_lag_days,-30.0,1331.5595953703705,94.09118400528236,150.23917554960016,-30.0,923.0,0.0,1.0,0.12955407798290253,0.1537681221961975
award_decision_lag_days,-30.0,1831.0,121.9013242959636,284.4957563388753,-30.0,1640.4583333333333,0.0,1.0,0.09050823003053665,0.1679404377937317
ntp_lag_days,-30.0,2535.0,82.48135957041731,254.9174311370453,-30.0,1604.0,0.0,1.0,0.06833963096141815,0.15287911891937256
contract_length_days,-30.0,3650.0,1572.6074056698899,499.30486740137445,1.0,2028.0,0.0,1.0,0.7749674916267395,0.24538357555866241
contract_effectivity_lag_days,-30.0,1726.0,-26.684210922091992,22.735381612053807,-30.0,81.0,0.0,1.0,0.022610174492001534,0.12847456336021423
City_Municipality_freq,1.0,71265.0,15493.338704484162,23931.024707996778,27.0,71265.0,0.0,1.0,0.21710941195487976,0.3359296917915344
City_Municipality_of_Awardee_freq,1.0,180936.0,72940.39422688447,83386.35671480803,28.0,180936.0,0.0,1.0,0.40303653478622437,0.4609317183494568
